# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
536.0000 M10 863541 1 245.0000 b46 b41 295 N b46->b41
1889.5000 M52 891919 1 329.5000 s62 s90 294 N s62->s90
1903.5000 M3 968122 1 1819.5000 b35 b41 269 N b35->b41
2306.5000 M59 562758 1 537.5000 b44 v2 291 N b44->v2
2450.5000 M44 568074 1 1137.5000 v6 b47 281 N v6->b47
2874.0000 M12 545086 1 2529.0000 b45 b37 257 N b45->b37
3243.0000 M100 746890 1 269.0000 v18 v3 295 N v18->v3
3344.0000 M34 844772 1 2337.0000 b44 v6 261 N b44->v6
3723.5000 M5 874671 1 3579.5000 v12 v29 240 N v12->v29
4140.0000 M9 587686 1 3875.0000 b33 b47 235 N b33->b47
4192.5000 M85 950749 1 1662.5000 b34 v22 272 N b34->v22
4312.0000 M21 519301 1 3703.0000 v15 b33 238 N v15->b33
4488.5000 M152 938468 1 0.5000 s96 s76 299 N s96->s76
4719.5000 M131 742886 1 846.5000 v28 b31 285 N v28->b31
4758.5000 M161 568421 1 0.5000 s74 s92 299 N s74->s92
4872.0000 M32 531670 1 3927.0000 b48 v16 234 N b48->v16
5323.0000 M139 807091 1 1211.0000 v4 v23 279 N v4->v23
5642.5000 M94 993756 1 2848.5000 s68 s63 252 N s68->s63
5868.5000 M198 611919 1 0.5000 s56 s86 299 N s56->s86
5969.5000 M75 916248 1 3740.5000 v0 b36 237 N v0->b36
5979.0000 M115 804649 1 2571.0000 b37 v20 257 N b37->v20
6028.0000 M70 975299 1 3940.0000 v13 b44 234 N v13->b44
6153.5000 M174 952886 1 1003.5000 v3 b48 283 N v3->b48
6192.5000 M88 507417 1 3573.5000 b31 v10 240 N b31->v10
6366.5000 M205 831486 1 292.5000 v15 b49 295 N v15->b49
6478.0000 M191 547102 1 820.0000 v4 b33 286 N v4->b33
6587.0000 M156 714999 1 1981.0000 v16 b33 266 N v16->b33
6844.5000 M58 837610 1 5105.5000 b31 v6 214 N b31->v6
6922.5000 M45 506581 1 5577.5000 v21 b44 207 N v21->b44
7089.5000 M22 854050 1 6449.5000 b36 b45 192 N b36->b45
7169.5000 M242 811543 1 0.5000 s96 s76 299 N s96->s76
7412.0000 M169 610098 1 2416.0000 v22 b45 259 N v22->b45
7461.0000 M23 555510 1 6792.0000 v12 b48 186 N v12->b48
7521.0000 M176 579901 1 2308.0000 b34 v9 261 N b34->v9
7568.5000 M236 844026 1 582.5000 b30 b46 290 N b30->b46
7622.0000 M40 572441 1 6438.0000 v17 v28 192 N v17->v28
7692.0000 M61 874679 1 5866.0000 b30 b45 202 N b30->b45
7735.0000 M194 875828 1 1988.0000 s73 s90 266 N s73->s90
7765.5000 M224 647560 1 1131.5000 v17 b39 281 N v17->b39
7829.5000 M188 875548 1 2267.5000 v19 b32 262 N v19->b32
8027.5000 M271 614868 1 0.5000 s74 s92 299 N s74->s92
8187.5000 M265 612093 1 343.5000 b44 v2 294 N b44->v2
8436.5000 M68 860233 1 6414.5000 v14 v16 193 N v14->v16
8590.0000 M287 814692 1 102.0000 s81 s53 298 N s81->s53
8931.0000 M290 997788 1 350.0000 s58 s99 294 N s58->s99
8964.0000 M160 876289 1 4235.0000 v19 b49 229 N v19->b49
9027.5000 M283 563112 1 647.5000 v13 v21 289 N v13->v21
9364.5000 M155 551649 1 4792.5000 v2 v27 220 N v2->v27
9384.5000 M196 776404 1 3577.5000 b47 b31 240 N b47->b31
9428.0000 M240 508487 1 2317.0000 v13 v29 261 N v13->v29
9467.0000 M241 894126 1 2329.0000 b36 v10 261 N b36->v10
9501.5000 M322 828359 1 0.5000 s83 s85 299 N s83->s85
9527.0000 M90 838494 1 6853.0000 b42 v5 185 N b42->v5
9676.0000 M118 990380 1 6189.0000 s90 s68 196 N s90->s68
9795.0000 M266 865488 1 1922.0000 b38 b30 267 N b38->b30
9813.5000 M333 787137 1 0.5000 s74 s97 299 N s74->s97
9931.5000 M229 923227 1 3158.5000 b42 b43 247 N b42->b43
10000.0000 M235 503057 1 3048.0000 v6 b46 249 N v6->b46
10075.5000 M342 641547 1 0.5000 s93 s88 299 N s93->s88
10136.0000 M261 711007 1 2407.0000 b47 v6 259 N b47->v6
10331.5000 M351 761437 1 0.5000 s96 s52 299 N s96->s52
10537.5000 M358 715916 1 0.5000 s53 s68 299 N s53->s68
10576.0000 M164 525429 1 5729.0000 b37 v25 204 N b37->v25
10577.0000 M46 636051 1 9199.0000 v25 b37 146 N v25->b37
10618.5000 M280 531861 1 2323.5000 b36 b39 261 N b36->b39
10618.5000 M354 872250 1 201.5000 b43 b40 296 N b43->b40
10675.0000 M292 840270 1 2034.0000 v28 v12 266 N v28->v12
10750.5000 M163 957322 1 5928.5000 s85 s92 201 N s85->s92
10786.0000 M199 567634 1 4886.0000 s57 s85 218 N s57->s85
11032.0000 M232 569382 1 4162.0000 v24 v22 230 N v24->v22
11162.0000 M192 803181 1 5474.0000 b47 v27 208 N b47->v27
11171.5000 M122 975987 1 7570.5000 v24 v26 173 N v24->v26
11405.5000 M268 818605 1 3470.5000 s57 s54 242 N s57->s54
11501.5000 M390 652618 1 22.5000 b38 v15 299 N b38->v15
11528.5000 M331 930586 1 1769.5000 b36 b47 270 N b36->b47
11704.5000 M281 794881 1 3384.5000 v22 b37 243 N v22->b37
11919.5000 M377 672041 1 824.5000 b47 v22 286 N b47->v22
12024.5000 M409 541506 1 0.5000 s69 s88 299 N s69->s88
12224.0000 M89 502436 1 9575.0000 s58 s85 140 N s58->s85
12308.0000 M339 988060 1 2325.0000 v23 b35 261 N v23->b35
12342.0000 M72 566893 1 10200.0000 s85 s91 130 N s85->s91
12485.0000 M245 569042 1 5223.0000 b42 b41 212 N b42->b41
12497.5000 M300 648818 1 3634.5000 v1 b34 239 N v1->b34
12664.0000 M215 782491 1 6299.0000 v0 v26 195 N v0->v26
12745.0000 M429 827866 1 133.0000 v22 b33 297 N v22->b33
12824.5000 M324 773182 1 3270.5000 b47 b30 245 N b47->b30
12871.5000 M438 951493 1 0.5000 s51 s79 299 N s51->s79
13431.0000 M97 926435 1 10551.0000 v19 b42 124 N v19->b42
13432.5000 M385 516767 1 2099.5000 b43 b31 265 N b43->b31
13757.5000 M468 947891 1 0.5000 s50 s69 299 N s50->s69
13818.5000 M134 856159 1 9850.5000 v5 b30 135 N v5->b30
13958.5000 M475 546265 1 0.5000 s95 s91 299 N s95->s91
13992.5000 M452 898514 1 702.5000 b47 b44 288 N b47->b44
14190.5000 M374 786262 1 3184.5000 s67 s73 246 N s67->s73
14302.0000 M389 930855 1 2852.0000 b44 v1 252 N b44->v1
14360.5000 M489 868109 1 0.5000 s70 s72 299 N s70->s72
14541.5000 M394 809108 1 2941.5000 b42 v14 250 N b42->v14
14842.0000 M432 749271 1 2138.0000 v26 b32 264 N v26->b32
15259.5000 M87 870121 1 12670.5000 v9 b31 88 N v9->b31
15269.5000 M365 845236 1 4525.5000 b45 v25 224 N b45->v25
15302.5000 M366 533454 1 4532.5000 b41 v9 224 N b41->v9
15430.5000 M415 946743 1 3234.5000 v23 b40 246 N v23->b40
15465.5000 M503 880806 1 687.5000 v21 b31 288 N v21->b31
15635.0000 M423 936332 1 3207.0000 v23 v21 246 N v23->v21
15655.5000 M220 882837 1 9146.5000 v15 v23 147 N v15->v23
16005.0000 M540 778682 1 142.0000 s53 s81 297 N s53->s81
16072.5000 M338 697599 1 6114.5000 v29 v26 198 N v29->v26
16457.0000 M461 806829 1 2921.0000 v6 v19 251 N v6->v19
16471.5000 M405 683524 1 4560.5000 v6 v3 223 N v6->v3
16680.0000 M421 929738 1 4318.0000 b37 v17 228 N b37->v17
16689.0000 M313 803896 1 7447.0000 b37 v9 175 N b37->v9
16726.0000 M221 948206 1 10186.0000 v18 v9 130 N v18->v9
16974.0000 M525 972953 1 1550.0000 b46 v8 274 N b46->v8
17127.5000 M453 697421 1 3811.5000 v4 v3 236 N v4->v3
17433.5000 M137 631418 1 13378.5000 v28 b33 77 N v28->b33
17745.5000 M534 622021 1 2061.5000 b46 b36 265 N b46->b36
17956.5000 M552 922716 1 1737.5000 v1 b36 271 N v1->b36
