# messageDelay  cumulativeProbability
0.5000 0.0005
0.5000 0.0010
0.5000 0.0015
0.5000 0.0020
0.5000 0.0026
0.5000 0.0031
0.5000 0.0036
0.5000 0.0041
0.5000 0.0046
0.5000 0.0051
0.5000 0.0056
0.5000 0.0061
0.5000 0.0067
0.5000 0.0072
0.5000 0.0077
0.5000 0.0082
0.5000 0.0087
0.5000 0.0092
0.5000 0.0097
0.5000 0.0102
0.5000 0.0108
0.5000 0.0113
0.5000 0.0118
0.5000 0.0123
0.5000 0.0128
0.5000 0.0133
0.5000 0.0138
0.5000 0.0143
0.5000 0.0148
0.5000 0.0154
0.5000 0.0159
0.5000 0.0164
0.5000 0.0169
0.5000 0.0174
0.5000 0.0179
0.5000 0.0184
5.0000 0.0189
22.5000 0.0195
38.5000 0.0200
65.5000 0.0205
92.0000 0.0210
102.0000 0.0215
109.5000 0.0220
133.0000 0.0225
141.0000 0.0230
142.0000 0.0236
142.0000 0.0241
150.5000 0.0246
180.0000 0.0251
201.5000 0.0256
235.5000 0.0261
244.0000 0.0266
245.0000 0.0271
269.0000 0.0276
290.0000 0.0282
292.5000 0.0287
326.0000 0.0292
329.5000 0.0297
334.0000 0.0302
343.5000 0.0307
350.0000 0.0312
355.0000 0.0317
374.0000 0.0323
406.0000 0.0328
407.5000 0.0333
416.5000 0.0338
419.5000 0.0343
425.5000 0.0348
537.5000 0.0353
557.0000 0.0358
582.5000 0.0364
628.5000 0.0369
647.5000 0.0374
648.5000 0.0379
655.0000 0.0384
670.5000 0.0389
685.0000 0.0394
687.5000 0.0399
689.0000 0.0405
702.5000 0.0410
713.0000 0.0415
756.5000 0.0420
792.0000 0.0425
820.0000 0.0430
821.0000 0.0435
824.5000 0.0440
834.5000 0.0445
846.0000 0.0451
846.5000 0.0456
849.0000 0.0461
891.0000 0.0466
929.5000 0.0471
975.5000 0.0476
977.5000 0.0481
995.0000 0.0486
1003.5000 0.0492
1055.0000 0.0497
1068.0000 0.0502
1074.5000 0.0507
1084.0000 0.0512
1118.5000 0.0517
1131.5000 0.0522
1137.5000 0.0527
1150.0000 0.0533
1157.5000 0.0538
1178.5000 0.0543
1181.0000 0.0548
1211.0000 0.0553
1300.5000 0.0558
1339.5000 0.0563
1354.0000 0.0568
1355.5000 0.0573
1379.5000 0.0579
1415.0000 0.0584
1442.5000 0.0589
1486.5000 0.0594
1519.0000 0.0599
1521.5000 0.0604
1550.0000 0.0609
1662.5000 0.0614
1708.0000 0.0620
1716.0000 0.0625
1716.0000 0.0630
1720.0000 0.0635
1732.5000 0.0640
1737.5000 0.0645
1751.0000 0.0650
1769.5000 0.0655
1807.5000 0.0661
1819.5000 0.0666
1922.0000 0.0671
1953.5000 0.0676
1954.5000 0.0681
1981.0000 0.0686
1981.5000 0.0691
1988.0000 0.0696
1999.5000 0.0701
2020.5000 0.0707
2034.0000 0.0712
2036.0000 0.0717
2061.5000 0.0722
2099.5000 0.0727
2110.5000 0.0732
2138.0000 0.0737
2153.0000 0.0742
2200.0000 0.0748
2214.5000 0.0753
2267.5000 0.0758
