# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
144.0000 5 0 0.0000
170.0000 6 0 0.0000
203.0000 7 0 0.0000
233.0000 8 0 0.0000
265.0000 9 0 0.0000
291.0000 10 0 0.0000
320.0000 11 0 0.0000
345.0000 12 0 0.0000
379.0000 13 0 0.0000
405.0000 14 0 0.0000
431.0000 15 0 0.0000
464.0000 16 0 0.0000
498.0000 17 0 0.0000
523.0000 18 0 0.0000
536.0000 18 1 0.0556
557.0000 19 1 0.0526
582.0000 20 1 0.0500
609.0000 21 1 0.0476
640.0000 22 1 0.0455
669.0000 23 1 0.0435
698.0000 24 1 0.0417
730.0000 25 1 0.0400
757.0000 26 1 0.0385
785.0000 27 1 0.0370
818.0000 28 1 0.0357
852.0000 29 1 0.0345
881.0000 30 1 0.0333
913.0000 31 1 0.0323
945.0000 32 1 0.0313
976.0000 33 1 0.0303
1007.0000 34 1 0.0294
1035.0000 35 1 0.0286
1060.0000 36 1 0.0278
1092.0000 37 1 0.0270
1121.0000 38 1 0.0263
1154.0000 39 1 0.0256
1184.0000 40 1 0.0250
1216.0000 41 1 0.0244
1249.0000 42 1 0.0238
1281.0000 43 1 0.0233
1313.0000 44 1 0.0227
1345.0000 45 1 0.0222
1378.0000 46 1 0.0217
1411.0000 47 1 0.0213
1437.0000 48 1 0.0208
1465.0000 49 1 0.0204
1498.0000 50 1 0.0200
1528.0000 51 1 0.0196
1560.0000 52 1 0.0192
1586.0000 53 1 0.0189
1617.0000 54 1 0.0185
1646.0000 55 1 0.0182
1677.0000 56 1 0.0179
1707.0000 57 1 0.0175
1739.0000 58 1 0.0172
1769.0000 59 1 0.0169
1801.0000 60 1 0.0167
1826.0000 61 1 0.0164
1852.0000 62 1 0.0161
1881.0000 63 1 0.0159
1889.5000 63 2 0.0317
1903.5000 63 3 0.0476
1908.0000 64 3 0.0469
1937.0000 65 3 0.0462
1968.0000 66 3 0.0455
1997.0000 67 3 0.0448
2022.0000 68 3 0.0441
