bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
bus	0.0000%
s	0.0000%
b	0.0000%
v	0.0000%
