# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
536.0000 M10 863541 1 245.0000 b46 b41 295 N b46->b41
553.0000 M9 587686 4 288.0000 b33 b47 295 N b33->v9->b36->b48->b47
630.5000 M7 612010 3 427.5000 v15 v9 292 N v15->v11->v24->v9
670.5000 M12 545086 2 325.5000 b45 b37 294 N b45->b47->b37
897.0000 M3 968122 4 813.0000 b35 b41 286 N b35->v27->b32->v21->b41
1288.0000 M21 519301 3 679.0000 v15 b33 288 N v15->b35->v0->b33
1562.0000 M52 891919 2 2.0000 s62 s90 299 N s62->s82->s90
1614.0000 M28 627290 3 796.0000 b35 v3 286 N b35->v0->b33->v3
1649.5000 M32 531670 4 704.5000 b48 v16 288 N b48->v15->v2->b41->v16
1761.0000 M22 854050 3 1121.0000 b36 b45 281 N b36->v5->b42->b45
1904.5000 M60 999278 2 103.5000 v11 v29 298 N v11->b39->v29
1928.0000 M23 555510 2 1259.0000 v12 b48 279 N v12->v18->b48
1990.5000 M5 874671 3 1846.5000 v12 v29 269 N v12->b42->b45->v29
2116.0000 M36 612761 4 1056.0000 v26 b49 282 N v26->v22->v27->v29->b49
2168.0000 M34 844772 3 1161.0000 b44 v6 280 N b44->b43->b30->v6
2226.5000 M40 572441 2 1042.5000 v17 v28 282 N v17->b40->v28
2306.5000 M59 562758 1 537.5000 b44 v2 291 N b44->v2
2357.0000 M44 568074 3 1044.0000 v6 b47 282 N v6->b30->b39->b47
2450.5000 M37 737538 4 1358.5000 b34 v6 277 N b34->v18->b39->b47->v6
2631.5000 M46 636051 4 1253.5000 v25 b37 279 N v25->b48->v29->b34->b37
2744.0000 M45 506581 3 1399.0000 v21 b44 276 N v21->b34->v29->b44
2765.5000 M58 837610 4 1026.5000 b31 v6 282 N b31->v8->b37->v15->v6
2874.5000 M61 874679 3 1048.5000 b30 b45 282 N b30->v6->b37->b45
2928.0000 M68 860233 3 906.0000 v14 v16 284 N v14->b42->b35->v16
3045.5000 M70 975299 2 957.5000 v13 b44 284 N v13->b31->b44
3047.0000 M87 870121 4 458.0000 v9 b31 292 N v9->b33->v19->b44->b31
3053.5000 M85 950749 5 523.5000 b34 v22 291 N b34->v1->b37->b45->v13->v22
3081.0000 M75 916248 3 852.0000 v0 b36 285 N v0->v18->v15->b36
3198.5000 M93 719389 2 430.5000 v16 v23 292 N v16->b31->v23
3243.0000 M100 746890 1 269.0000 v18 v3 295 N v18->v3
3412.5000 M97 926435 3 532.5000 v19 b42 291 N v19->v23->b38->b42
3543.5000 M90 838494 2 869.5000 b42 v5 285 N b42->b45->v5
3545.5000 M120 524342 3 2.5000 s86 s79 299 N s86->s56->s51->s79
3800.0000 M83 623765 6 1330.0000 v2 v12 277 N v2->b32->v8->b41->v28->b40->v12
3861.5000 M88 507417 4 1242.5000 b31 v10 279 N b31->v3->b42->b30->v10
4130.5000 M122 975987 3 529.5000 v24 v26 291 N v24->v13->b46->v26
4154.5000 M101 846482 6 1151.5000 v3 b30 280 N v3->v18->v24->v13->b46->b42->b30
4487.5000 M115 804649 2 1079.5000 b37 v20 282 N b37->b48->v20
4488.5000 M152 938468 1 0.5000 s96 s76 299 N s96->s76
4590.0000 M134 856159 2 622.0000 v5 b30 289 N v5->b41->b30
4708.0000 M131 742886 3 835.0000 v28 b31 286 N v28->b49->b48->b31
4747.0000 M107 990865 3 1572.0000 b49 v7 273 N b49->b39->b44->v7
4758.5000 M161 568421 1 0.5000 s74 s92 299 N s74->s92
4823.0000 M163 957322 2 1.0000 s85 s92 299 N s85->s54->s92
5084.0000 M121 601626 4 1514.0000 s90 s55 274 N s90->s99->s73->s84->s55
5152.0000 M137 631418 3 1097.0000 v28 b33 281 N v28->b49->b48->b33
5153.0000 M156 714999 2 547.0000 v16 b33 290 N v16->b48->b33
5213.0000 M148 625450 4 845.0000 v29 v27 285 N v29->v14->v21->b34->v27
5265.0000 M143 731013 5 1035.0000 s92 s98 282 N s92->s54->s74->s97->s65->s98
5323.0000 M139 807091 1 1211.0000 v4 v23 279 N v4->v23
5642.5000 M94 993756 1 2848.5000 s68 s63 252 N s68->s63
5868.5000 M198 611919 1 0.5000 s56 s86 299 N s56->s86
5900.5000 M164 525429 2 1053.5000 b37 v25 282 N b37->b31->v25
5902.5000 M199 567634 3 2.5000 s57 s85 299 N s57->s70->s54->s85
5970.0000 M174 952886 3 820.0000 v3 b48 286 N v3->v20->b33->b48
5972.0000 M167 798197 3 1037.0000 v5 v11 282 N v5->b44->b31->v11
5984.5000 M165 591118 5 1109.5000 v9 v24 281 N v9->b35->v20->b30->b34->v24
6119.5000 M160 876289 3 1390.5000 v19 b49 276 N v19->v22->v27->b49
6338.0000 M169 610098 4 1342.0000 v22 b45 277 N v22->b40->b33->v12->b45
6356.0000 M205 831486 3 282.0000 v15 b49 295 N v15->b48->b40->b49
