# messageDelay  cumulativeProbability
0.5000 0.0005
0.5000 0.0010
0.5000 0.0015
0.5000 0.0020
0.5000 0.0026
0.5000 0.0031
0.5000 0.0036
0.5000 0.0041
0.5000 0.0046
0.5000 0.0051
0.5000 0.0056
0.5000 0.0061
0.5000 0.0067
0.5000 0.0072
0.5000 0.0077
0.5000 0.0082
0.5000 0.0087
0.5000 0.0092
0.5000 0.0097
0.5000 0.0102
0.5000 0.0108
0.5000 0.0113
0.5000 0.0118
0.5000 0.0123
0.5000 0.0128
0.5000 0.0133
0.5000 0.0138
0.5000 0.0143
0.5000 0.0148
0.5000 0.0154
0.5000 0.0159
0.5000 0.0164
0.5000 0.0169
0.5000 0.0174
0.5000 0.0179
0.5000 0.0184
1.0000 0.0189
1.0000 0.0195
1.0000 0.0200
1.0000 0.0205
1.0000 0.0210
1.0000 0.0215
1.0000 0.0220
1.0000 0.0225
1.0000 0.0230
1.5000 0.0236
1.5000 0.0241
1.5000 0.0246
1.5000 0.0251
1.5000 0.0256
1.5000 0.0261
1.5000 0.0266
1.5000 0.0271
1.5000 0.0276
2.0000 0.0282
2.0000 0.0287
2.0000 0.0292
2.0000 0.0297
2.0000 0.0302
2.0000 0.0307
2.0000 0.0312
2.0000 0.0317
2.0000 0.0323
2.0000 0.0328
2.0000 0.0333
2.0000 0.0338
2.0000 0.0343
2.0000 0.0348
2.0000 0.0353
2.5000 0.0358
2.5000 0.0364
2.5000 0.0369
2.5000 0.0374
2.5000 0.0379
3.0000 0.0384
3.0000 0.0389
3.0000 0.0394
3.0000 0.0399
3.5000 0.0405
4.0000 0.0410
4.0000 0.0415
5.0000 0.0420
5.5000 0.0425
23.5000 0.0430
38.5000 0.0435
60.5000 0.0440
92.0000 0.0445
103.5000 0.0451
110.0000 0.0456
113.0000 0.0461
141.0000 0.0466
142.0000 0.0471
150.5000 0.0476
191.0000 0.0481
235.5000 0.0486
245.0000 0.0492
245.0000 0.0497
256.0000 0.0502
269.0000 0.0507
282.0000 0.0512
283.0000 0.0517
284.0000 0.0522
284.5000 0.0527
288.0000 0.0533
288.0000 0.0538
311.5000 0.0543
325.5000 0.0548
326.0000 0.0553
334.0000 0.0558
343.5000 0.0563
349.0000 0.0568
355.0000 0.0573
374.0000 0.0579
393.5000 0.0584
397.5000 0.0589
406.0000 0.0594
407.5000 0.0599
416.5000 0.0604
419.5000 0.0609
425.5000 0.0614
427.5000 0.0620
430.5000 0.0625
443.5000 0.0630
447.5000 0.0635
450.5000 0.0640
456.5000 0.0645
457.5000 0.0650
458.0000 0.0655
459.0000 0.0661
461.0000 0.0666
469.5000 0.0671
471.0000 0.0676
508.0000 0.0681
523.5000 0.0686
529.5000 0.0691
532.5000 0.0696
537.5000 0.0701
547.0000 0.0707
550.5000 0.0712
553.0000 0.0717
554.5000 0.0722
557.0000 0.0727
578.5000 0.0732
582.5000 0.0737
615.0000 0.0742
618.0000 0.0748
622.0000 0.0753
647.5000 0.0758
649.5000 0.0763
654.0000 0.0768
655.0000 0.0773
666.0000 0.0778
669.0000 0.0783
