# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
144.0000 5 0 0.0000
170.0000 6 0 0.0000
203.0000 7 0 0.0000
233.0000 8 0 0.0000
265.0000 9 0 0.0000
291.0000 10 0 0.0000
320.0000 11 0 0.0000
345.0000 12 0 0.0000
379.0000 13 0 0.0000
405.0000 14 0 0.0000
431.0000 15 0 0.0000
464.0000 16 0 0.0000
498.0000 17 0 0.0000
523.0000 18 0 0.0000
536.0000 18 1 0.0556
553.0000 18 2 0.1111
557.0000 19 2 0.1053
582.0000 20 2 0.1000
609.0000 21 2 0.0952
630.5000 21 3 0.1429
640.0000 22 3 0.1364
669.0000 23 3 0.1304
670.5000 23 4 0.1739
698.0000 24 4 0.1667
730.0000 25 4 0.1600
757.0000 26 4 0.1538
785.0000 27 4 0.1481
818.0000 28 4 0.1429
852.0000 29 4 0.1379
881.0000 30 4 0.1333
897.0000 30 5 0.1667
913.0000 31 5 0.1613
945.0000 32 5 0.1563
976.0000 33 5 0.1515
1007.0000 34 5 0.1471
1035.0000 35 5 0.1429
1060.0000 36 5 0.1389
1092.0000 37 5 0.1351
1121.0000 38 5 0.1316
1154.0000 39 5 0.1282
1184.0000 40 5 0.1250
1216.0000 41 5 0.1220
1249.0000 42 5 0.1190
1281.0000 43 5 0.1163
1288.0000 43 6 0.1395
1313.0000 44 6 0.1364
1345.0000 45 6 0.1333
1378.0000 46 6 0.1304
1411.0000 47 6 0.1277
1437.0000 48 6 0.1250
1465.0000 49 6 0.1224
1498.0000 50 6 0.1200
1528.0000 51 6 0.1176
1560.0000 52 6 0.1154
1562.0000 52 7 0.1346
1586.0000 53 7 0.1321
1614.0000 53 8 0.1509
1617.0000 54 8 0.1481
1646.0000 55 8 0.1455
1649.5000 55 9 0.1636
1677.0000 56 9 0.1607
1707.0000 57 9 0.1579
1739.0000 58 9 0.1552
1761.0000 58 10 0.1724
1769.0000 59 10 0.1695
1801.0000 60 10 0.1667
1826.0000 61 10 0.1639
1852.0000 62 10 0.1613
