# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
897.0000 M3 968122 4 813.0000 b35 b41 286 N b35->v27->b32->v21->b41
915.5000 M7 612010 7 712.5000 v15 v9 288 N v15->b31->v25->v11->v24->b45->v20->v9
1562.5000 M52 891919 5 2.5000 s62 s90 299 N s62->s71->s89->s67->s82->s90
1907.0000 M60 999278 3 106.0000 v11 v29 298 N v11->b39->v0->v29
2255.0000 M10 863541 13 1964.0000 b46 b41 267 N b46->v1->v3->b40->v7->b47->v0->v11->b39->v29->b45->v20->b49->b41
2357.0000 M44 568074 3 1044.0000 v6 b47 282 N v6->b30->b39->b47
2631.5000 M46 636051 13 1253.5000 v25 b37 279 N v25->b48->v2->b47->b45->v29->b49->v20->b41->b42->v11->v1->b34->b37
2832.0000 M28 627290 13 2014.0000 b35 v3 266 N b35->v15->b48->b31->b42->b38->v11->v2->b41->v16->b32->v12->b43->v3
3198.0000 M87 870121 5 609.0000 v9 b31 289 N v9->v23->b33->v19->b38->b31
3224.5000 M21 519301 14 2615.5000 v15 b33 256 N v15->v14->b44->b43->b49->v9->b37->v8->b31->v29->b34->v1->b40->v21->b33
4488.5000 M152 938468 1 0.5000 s96 s76 299 N s96->s76
4708.0000 M131 742886 3 835.0000 v28 b31 286 N v28->b49->b48->b31
4758.5000 M161 568421 1 0.5000 s74 s92 299 N s74->s92
4785.5000 M97 926435 12 1905.5000 v19 b42 268 N v19->v23->b39->b31->b38->b48->b37->b41->v21->v14->b32->b40->b42
4805.0000 M70 975299 11 2717.0000 v13 b44 254 N v13->b40->v7->b31->v24->b45->v4->b30->b36->v6->v3->b44
4823.0000 M163 957322 2 1.0000 s85 s92 299 N s85->s54->s92
5081.5000 M121 601626 9 1511.5000 s90 s55 274 N s90->s82->s67->s71->s89->s77->s99->s73->s84->s55
5091.5000 M36 612761 18 4031.5000 v26 b49 232 N v26->v22->v27->v29->v5->b35->v12->b38->v23->v9->b33->v19->b44->b31->b39->b36->b30->v10->b49
5500.5000 M9 587686 21 5235.5000 b33 b47 212 N b33->b44->v28->v26->v17->v29->v6->b36->v22->b40->v1->v3->v7->b31->v24->b45->v4->b30->v10->b38->v5->b47
5530.5000 M75 916248 18 3301.5000 v0 b36 244 N v0->v18->v15->v14->b35->v2->b46->b32->b47->b31->v11->b43->v12->b44->b33->b39->v23->v4->b36
5744.5000 M94 993756 4 2950.5000 s68 s63 250 N s68->s81->s75->s53->s63
5868.5000 M198 611919 1 0.5000 s56 s86 299 N s56->s86
5899.0000 M40 572441 18 4715.0000 v17 v28 221 N v17->b44->b31->v29->b34->v1->b37->v15->v6->b35->v16->v21->b48->v0->b38->b30->b41->b45->v28
5902.5000 M199 567634 4 2.5000 s57 s85 299 N s57->s72->s70->s54->s85
6119.5000 M160 876289 3 1390.5000 v19 b49 276 N v19->v22->v27->b49
6418.5000 M217 918433 2 1.5000 s72 s92 299 N s72->s70->s92
6501.5000 M23 555510 24 5832.5000 v12 b48 202 N v12->v24->b42->v4->b46->b40->b32->v2->b35->b47->b31->v11->b43->b44->b33->v15->b39->v23->b34->b30->b41->v27->v17->b49->b48
6578.5000 M156 714999 9 1972.5000 v16 b33 267 N v16->b48->b32->b49->v10->b34->b31->v24->b41->b33
