# messageDelay  cumulativeProbability
0.5000 0.0005
0.5000 0.0010
0.5000 0.0015
0.5000 0.0020
0.5000 0.0026
0.5000 0.0031
0.5000 0.0036
0.5000 0.0041
0.5000 0.0046
0.5000 0.0051
0.5000 0.0056
0.5000 0.0061
0.5000 0.0067
0.5000 0.0072
0.5000 0.0077
0.5000 0.0082
0.5000 0.0087
0.5000 0.0092
0.5000 0.0097
0.5000 0.0102
0.5000 0.0108
0.5000 0.0113
0.5000 0.0118
0.5000 0.0123
0.5000 0.0128
0.5000 0.0133
0.5000 0.0138
0.5000 0.0143
0.5000 0.0148
0.5000 0.0154
0.5000 0.0159
0.5000 0.0164
0.5000 0.0169
0.5000 0.0174
0.5000 0.0179
0.5000 0.0184
1.0000 0.0189
1.0000 0.0195
1.0000 0.0200
1.0000 0.0205
1.0000 0.0210
1.0000 0.0215
1.5000 0.0220
1.5000 0.0225
1.5000 0.0230
1.5000 0.0236
1.5000 0.0241
1.5000 0.0246
1.5000 0.0251
1.5000 0.0256
1.5000 0.0261
1.5000 0.0266
2.0000 0.0271
2.0000 0.0276
2.0000 0.0282
2.0000 0.0287
2.0000 0.0292
2.0000 0.0297
2.0000 0.0302
2.0000 0.0307
2.0000 0.0312
2.0000 0.0317
2.5000 0.0323
2.5000 0.0328
2.5000 0.0333
2.5000 0.0338
2.5000 0.0343
2.5000 0.0348
2.5000 0.0353
3.0000 0.0358
4.0000 0.0364
4.5000 0.0369
5.0000 0.0374
6.0000 0.0379
7.0000 0.0384
38.5000 0.0389
42.0000 0.0394
60.5000 0.0399
106.0000 0.0405
110.5000 0.0410
113.0000 0.0415
131.5000 0.0420
185.0000 0.0425
187.5000 0.0430
203.5000 0.0435
241.0000 0.0440
252.0000 0.0445
268.0000 0.0451
277.0000 0.0456
277.5000 0.0461
283.0000 0.0466
287.0000 0.0471
298.5000 0.0476
301.0000 0.0481
347.5000 0.0486
362.0000 0.0492
374.0000 0.0497
416.5000 0.0502
418.5000 0.0507
419.5000 0.0512
420.0000 0.0517
436.0000 0.0522
491.0000 0.0527
520.0000 0.0533
567.0000 0.0538
606.0000 0.0543
609.0000 0.0548
628.0000 0.0553
689.0000 0.0558
696.0000 0.0563
705.0000 0.0568
712.5000 0.0573
744.5000 0.0579
800.5000 0.0584
808.5000 0.0589
812.0000 0.0594
813.0000 0.0599
820.0000 0.0604
833.5000 0.0609
835.0000 0.0614
877.5000 0.0620
898.5000 0.0625
915.5000 0.0630
916.0000 0.0635
948.5000 0.0640
965.0000 0.0645
1016.0000 0.0650
1024.5000 0.0655
1041.0000 0.0661
1044.0000 0.0666
1086.0000 0.0671
1111.5000 0.0676
1139.5000 0.0681
1150.0000 0.0686
1160.5000 0.0691
1174.0000 0.0696
1184.0000 0.0701
1207.5000 0.0707
1242.0000 0.0712
1253.5000 0.0717
1337.5000 0.0722
1369.5000 0.0727
1385.0000 0.0732
1390.5000 0.0737
1402.0000 0.0742
1411.0000 0.0748
1425.0000 0.0753
1429.5000 0.0758
1430.5000 0.0763
1450.0000 0.0768
1474.0000 0.0773
