# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
144.0000 5 0 0.0000
170.0000 6 0 0.0000
203.0000 7 0 0.0000
233.0000 8 0 0.0000
265.0000 9 0 0.0000
291.0000 10 0 0.0000
320.0000 11 0 0.0000
345.0000 12 0 0.0000
379.0000 13 0 0.0000
405.0000 14 0 0.0000
431.0000 15 0 0.0000
464.0000 16 0 0.0000
498.0000 17 0 0.0000
523.0000 18 0 0.0000
557.0000 19 0 0.0000
582.0000 20 0 0.0000
609.0000 21 0 0.0000
640.0000 22 0 0.0000
669.0000 23 0 0.0000
698.0000 24 0 0.0000
730.0000 25 0 0.0000
757.0000 26 0 0.0000
785.0000 27 0 0.0000
818.0000 28 0 0.0000
852.0000 29 0 0.0000
881.0000 30 0 0.0000
897.0000 30 1 0.0333
913.0000 31 1 0.0323
915.5000 31 2 0.0645
945.0000 32 2 0.0625
976.0000 33 2 0.0606
1007.0000 34 2 0.0588
1035.0000 35 2 0.0571
1060.0000 36 2 0.0556
1092.0000 37 2 0.0541
1121.0000 38 2 0.0526
1154.0000 39 2 0.0513
1184.0000 40 2 0.0500
1216.0000 41 2 0.0488
1249.0000 42 2 0.0476
1281.0000 43 2 0.0465
1313.0000 44 2 0.0455
1345.0000 45 2 0.0444
1378.0000 46 2 0.0435
1411.0000 47 2 0.0426
1437.0000 48 2 0.0417
1465.0000 49 2 0.0408
1498.0000 50 2 0.0400
1528.0000 51 2 0.0392
1560.0000 52 2 0.0385
1562.5000 52 3 0.0577
1586.0000 53 3 0.0566
1617.0000 54 3 0.0556
1646.0000 55 3 0.0545
1677.0000 56 3 0.0536
1707.0000 57 3 0.0526
1739.0000 58 3 0.0517
1769.0000 59 3 0.0508
1801.0000 60 3 0.0500
1826.0000 61 3 0.0492
1852.0000 62 3 0.0484
1881.0000 63 3 0.0476
1907.0000 63 4 0.0635
1908.0000 64 4 0.0625
1937.0000 65 4 0.0615
1968.0000 66 4 0.0606
1997.0000 67 4 0.0597
