# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
536.0000 M10 863541 1 245.0000 b46 b41 295 N b46->b41
759.5000 M7 612010 2 556.5000 v15 v9 290 N v15->b31->v9
1092.0000 M12 545086 2 747.0000 b45 b37 287 N b45->v24->b37
1478.5000 M3 968122 3 1394.5000 b35 b41 276 N b35->v15->v2->b41
1562.5000 M52 891919 3 2.5000 s62 s90 299 N s62->s71->s99->s90
1699.5000 M9 587686 4 1434.5000 b33 b47 276 N b33->v24->b37->b48->b47
1904.5000 M60 999278 2 103.5000 v11 v29 298 N v11->b39->v29
1933.0000 M23 555510 3 1264.0000 v12 b48 278 N v12->b32->v18->b48
1970.5000 M21 519301 3 1361.5000 v15 b33 277 N v15->v18->b48->b33
2113.0000 M32 531670 3 1168.0000 b48 v16 280 N b48->v2->b45->v16
2252.0000 M36 612761 3 1192.0000 v26 b49 280 N v26->b41->v20->b49
2306.5000 M59 562758 1 537.5000 b44 v2 291 N b44->v2
2353.5000 M22 854050 4 1713.5000 b36 b45 271 N b36->v1->v12->b35->b45
2392.5000 M40 572441 3 1208.5000 v17 v28 279 N v17->b44->b31->v28
2450.5000 M44 568074 1 1137.5000 v6 b47 281 N v6->b47
2744.5000 M5 874671 4 2600.5000 v12 v29 256 N v12->v24->b36->b44->v29
2745.5000 M45 506581 3 1400.5000 v21 b44 276 N v21->b34->v29->b44
2770.0000 M37 737538 3 1678.0000 b34 v6 272 N b34->v17->b37->v6
2771.5000 M34 844772 3 1764.5000 b44 v6 270 N b44->v17->b37->v6
2773.0000 M58 837610 2 1034.0000 b31 v6 282 N b31->b37->v6
2800.0000 M28 627290 3 1982.0000 b35 v3 266 N b35->v15->v26->v3
2928.0000 M68 860233 3 906.0000 v14 v16 284 N v14->b42->b35->v16
3045.5000 M70 975299 2 957.5000 v13 b44 284 N v13->b31->b44
3047.0000 M87 870121 3 458.0000 v9 b31 292 N v9->v19->b44->b31
3081.0000 M75 916248 3 852.0000 v0 b36 285 N v0->v18->v15->b36
3198.5000 M93 719389 2 430.5000 v16 v23 292 N v16->b31->v23
3243.0000 M100 746890 1 269.0000 v18 v3 295 N v18->v3
3540.5000 M97 926435 3 660.5000 v19 b42 288 N v19->b31->b47->b42
3543.5000 M90 838494 2 869.5000 b42 v5 285 N b42->b45->v5
3545.5000 M120 524342 3 2.5000 s86 s79 299 N s86->s93->s51->s79
3807.0000 M46 636051 2 2429.0000 v25 b37 259 N v25->b48->b37
3881.0000 M61 874679 3 2055.0000 b30 b45 265 N b30->b44->v6->b45
4174.5000 M83 623765 3 1704.5000 v2 v12 271 N v2->b46->b33->v12
4192.5000 M85 950749 1 1662.5000 b34 v22 272 N b34->v22
