# messageDelay  cumulativeProbability
0.5000 0.0005
0.5000 0.0010
0.5000 0.0015
0.5000 0.0020
0.5000 0.0026
0.5000 0.0031
0.5000 0.0036
0.5000 0.0041
0.5000 0.0046
0.5000 0.0051
0.5000 0.0056
0.5000 0.0061
0.5000 0.0067
0.5000 0.0072
0.5000 0.0077
0.5000 0.0082
0.5000 0.0087
0.5000 0.0092
0.5000 0.0097
0.5000 0.0102
0.5000 0.0108
0.5000 0.0113
0.5000 0.0118
0.5000 0.0123
0.5000 0.0128
0.5000 0.0133
0.5000 0.0138
0.5000 0.0143
0.5000 0.0148
0.5000 0.0154
0.5000 0.0159
0.5000 0.0164
0.5000 0.0169
0.5000 0.0174
0.5000 0.0179
0.5000 0.0184
1.0000 0.0189
1.0000 0.0195
1.0000 0.0200
1.0000 0.0205
1.0000 0.0210
1.0000 0.0215
1.0000 0.0220
1.0000 0.0225
1.0000 0.0230
1.5000 0.0236
1.5000 0.0241
1.5000 0.0246
1.5000 0.0251
1.5000 0.0256
1.5000 0.0261
2.0000 0.0266
2.0000 0.0271
2.0000 0.0276
2.0000 0.0282
2.5000 0.0287
2.5000 0.0292
2.5000 0.0297
2.5000 0.0302
2.5000 0.0307
2.5000 0.0312
2.5000 0.0317
2.5000 0.0323
5.0000 0.0328
22.5000 0.0333
38.5000 0.0338
42.5000 0.0343
92.0000 0.0348
103.5000 0.0353
109.5000 0.0358
110.5000 0.0364
133.0000 0.0369
141.0000 0.0374
141.0000 0.0379
142.0000 0.0384
150.5000 0.0389
179.0000 0.0394
185.0000 0.0399
201.5000 0.0405
235.5000 0.0410
238.0000 0.0415
241.0000 0.0420
245.0000 0.0425
246.0000 0.0430
262.5000 0.0435
265.0000 0.0440
269.0000 0.0445
282.5000 0.0451
283.0000 0.0456
283.5000 0.0461
284.5000 0.0466
287.0000 0.0471
292.0000 0.0476
292.5000 0.0481
298.5000 0.0486
311.5000 0.0492
334.0000 0.0497
343.5000 0.0502
348.0000 0.0507
349.0000 0.0512
355.0000 0.0517
362.5000 0.0522
363.0000 0.0527
374.0000 0.0533
375.0000 0.0538
378.5000 0.0543
383.5000 0.0548
397.5000 0.0553
400.5000 0.0558
406.0000 0.0563
407.5000 0.0568
416.5000 0.0573
419.5000 0.0579
420.5000 0.0584
425.5000 0.0589
430.5000 0.0594
450.5000 0.0599
458.0000 0.0604
461.0000 0.0609
469.5000 0.0614
470.0000 0.0620
492.0000 0.0625
498.5000 0.0630
509.5000 0.0635
520.0000 0.0640
532.5000 0.0645
537.5000 0.0650
540.0000 0.0655
547.0000 0.0661
553.0000 0.0666
553.0000 0.0671
554.5000 0.0676
556.5000 0.0681
557.0000 0.0686
562.0000 0.0691
568.5000 0.0696
569.0000 0.0701
582.5000 0.0707
584.5000 0.0712
592.5000 0.0717
605.5000 0.0722
607.0000 0.0727
608.5000 0.0732
615.5000 0.0737
622.0000 0.0742
628.0000 0.0748
630.0000 0.0753
638.5000 0.0758
647.5000 0.0763
649.0000 0.0768
655.0000 0.0773
660.5000 0.0778
670.5000 0.0783
