# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
144.0000 5 0 0.0000
170.0000 6 0 0.0000
203.0000 7 0 0.0000
233.0000 8 0 0.0000
265.0000 9 0 0.0000
291.0000 10 0 0.0000
320.0000 11 0 0.0000
345.0000 12 0 0.0000
379.0000 13 0 0.0000
405.0000 14 0 0.0000
431.0000 15 0 0.0000
464.0000 16 0 0.0000
498.0000 17 0 0.0000
523.0000 18 0 0.0000
536.0000 18 1 0.0556
557.0000 19 1 0.0526
582.0000 20 1 0.0500
609.0000 21 1 0.0476
640.0000 22 1 0.0455
669.0000 23 1 0.0435
698.0000 24 1 0.0417
730.0000 25 1 0.0400
757.0000 26 1 0.0385
759.5000 26 2 0.0769
785.0000 27 2 0.0741
818.0000 28 2 0.0714
852.0000 29 2 0.0690
881.0000 30 2 0.0667
913.0000 31 2 0.0645
945.0000 32 2 0.0625
976.0000 33 2 0.0606
1007.0000 34 2 0.0588
1035.0000 35 2 0.0571
1060.0000 36 2 0.0556
1092.0000 37 2 0.0541
1092.0000 37 3 0.0811
1121.0000 38 3 0.0789
1154.0000 39 3 0.0769
1184.0000 40 3 0.0750
1216.0000 41 3 0.0732
1249.0000 42 3 0.0714
1281.0000 43 3 0.0698
1313.0000 44 3 0.0682
1345.0000 45 3 0.0667
1378.0000 46 3 0.0652
1411.0000 47 3 0.0638
1437.0000 48 3 0.0625
1465.0000 49 3 0.0612
1478.5000 49 4 0.0816
1498.0000 50 4 0.0800
1528.0000 51 4 0.0784
1560.0000 52 4 0.0769
1562.5000 52 5 0.0962
1586.0000 53 5 0.0943
1617.0000 54 5 0.0926
1646.0000 55 5 0.0909
1677.0000 56 5 0.0893
1699.5000 56 6 0.1071
1707.0000 57 6 0.1053
1739.0000 58 6 0.1034
1769.0000 59 6 0.1017
1801.0000 60 6 0.1000
1826.0000 61 6 0.0984
1852.0000 62 6 0.0968
1881.0000 63 6 0.0952
1904.5000 63 7 0.1111
1908.0000 64 7 0.1094
