# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
536.0000 M10 863541 1 245.0000 b46 b41 295 N b46->b41
630.5000 M7 612010 3 427.5000 v15 v9 292 N v15->b45->v24->v9
670.5000 M12 545086 3 325.5000 b45 b37 294 N b45->v14->b47->b37
897.0000 M3 968122 4 813.0000 b35 b41 286 N b35->v27->b32->v21->b41
1562.0000 M52 891919 2 2.0000 s62 s90 299 N s62->s82->s90
1761.0000 M22 854050 3 1121.0000 b36 b45 281 N b36->v5->b42->b45
1904.5000 M60 999278 2 103.5000 v11 v29 298 N v11->b39->v29
2116.0000 M36 612761 4 1056.0000 v26 b49 282 N v26->v22->v27->v29->b49
2152.0000 M23 555510 4 1483.0000 v12 b48 275 N v12->v24->b36->v27->b48
2168.0000 M34 844772 3 1161.0000 b44 v6 280 N b44->b43->b30->v6
2306.5000 M59 562758 1 537.5000 b44 v2 291 N b44->v2
2357.0000 M44 568074 3 1044.0000 v6 b47 282 N v6->b30->b39->b47
2392.5000 M40 572441 3 1208.5000 v17 v28 279 N v17->b44->b31->v28
2765.0000 M37 737538 3 1673.0000 b34 v6 272 N b34->v18->v15->v6
2770.0000 M58 837610 3 1031.0000 b31 v6 282 N b31->v8->b37->v6
2800.0000 M45 506581 3 1455.0000 v21 b44 275 N v21->b34->v23->b44
2874.5000 M61 874679 4 1048.5000 b30 b45 282 N b30->v6->v15->b37->b45
3045.5000 M70 975299 2 957.5000 v13 b44 284 N v13->b31->b44
3081.0000 M75 916248 3 852.0000 v0 b36 285 N v0->v18->v15->b36
3198.0000 M87 870121 3 609.0000 v9 b31 289 N v9->v23->b38->b31
3201.0000 M93 719389 2 433.0000 v16 v23 292 N v16->b31->v23
3243.0000 M100 746890 1 269.0000 v18 v3 295 N v18->v3
3375.5000 M21 519301 2 2766.5000 v15 b33 253 N v15->v10->b33
3543.5000 M90 838494 2 869.5000 b42 v5 285 N b42->b45->v5
3723.5000 M5 874671 1 3579.5000 v12 v29 240 N v12->v29
3807.0000 M46 636051 2 2429.0000 v25 b37 259 N v25->b48->b37
4083.0000 M85 950749 3 1553.0000 b34 v22 274 N b34->v1->b40->v22
