# messageDelay  cumulativeProbability
0.5000 0.0005
0.5000 0.0010
0.5000 0.0015
0.5000 0.0020
0.5000 0.0026
0.5000 0.0031
0.5000 0.0036
0.5000 0.0041
0.5000 0.0046
0.5000 0.0051
0.5000 0.0056
0.5000 0.0061
0.5000 0.0067
0.5000 0.0072
0.5000 0.0077
0.5000 0.0082
0.5000 0.0087
0.5000 0.0092
0.5000 0.0097
0.5000 0.0102
0.5000 0.0108
0.5000 0.0113
0.5000 0.0118
0.5000 0.0123
0.5000 0.0128
0.5000 0.0133
0.5000 0.0138
0.5000 0.0143
0.5000 0.0148
0.5000 0.0154
0.5000 0.0159
0.5000 0.0164
0.5000 0.0169
0.5000 0.0174
0.5000 0.0179
0.5000 0.0184
1.0000 0.0189
1.0000 0.0195
1.0000 0.0200
1.0000 0.0205
1.0000 0.0210
1.0000 0.0215
1.0000 0.0220
1.0000 0.0225
1.0000 0.0230
1.0000 0.0236
1.5000 0.0241
1.5000 0.0246
1.5000 0.0251
1.5000 0.0256
1.5000 0.0261
1.5000 0.0266
1.5000 0.0271
1.5000 0.0276
1.5000 0.0282
2.0000 0.0287
2.0000 0.0292
2.0000 0.0297
2.0000 0.0302
2.0000 0.0307
2.0000 0.0312
2.0000 0.0317
2.0000 0.0323
2.0000 0.0328
2.0000 0.0333
2.0000 0.0338
2.0000 0.0343
2.5000 0.0348
2.5000 0.0353
2.5000 0.0358
3.0000 0.0364
5.0000 0.0369
22.5000 0.0374
38.5000 0.0379
39.5000 0.0384
60.5000 0.0389
92.0000 0.0394
103.5000 0.0399
109.5000 0.0405
110.5000 0.0410
113.0000 0.0415
118.5000 0.0420
131.5000 0.0425
141.0000 0.0430
142.0000 0.0435
150.5000 0.0440
166.5000 0.0445
178.5000 0.0451
180.0000 0.0456
185.0000 0.0461
201.5000 0.0466
204.5000 0.0471
235.5000 0.0476
238.0000 0.0481
241.0000 0.0486
245.0000 0.0492
246.0000 0.0497
252.0000 0.0502
254.0000 0.0507
256.0000 0.0512
261.5000 0.0517
262.5000 0.0522
265.0000 0.0527
269.0000 0.0533
277.5000 0.0538
278.5000 0.0543
283.0000 0.0548
283.5000 0.0553
287.0000 0.0558
290.0000 0.0563
292.5000 0.0568
298.5000 0.0573
301.0000 0.0579
311.5000 0.0584
325.5000 0.0589
326.0000 0.0594
326.0000 0.0599
334.0000 0.0604
343.5000 0.0609
345.5000 0.0614
349.0000 0.0620
355.0000 0.0625
362.5000 0.0630
363.0000 0.0635
364.0000 0.0640
370.0000 0.0645
374.0000 0.0650
375.0000 0.0655
377.5000 0.0661
395.0000 0.0666
397.5000 0.0671
406.0000 0.0676
407.5000 0.0681
416.5000 0.0686
419.5000 0.0691
425.5000 0.0696
427.5000 0.0701
433.0000 0.0707
436.0000 0.0712
447.5000 0.0717
449.5000 0.0722
450.5000 0.0727
456.5000 0.0732
462.5000 0.0737
465.0000 0.0742
469.5000 0.0748
471.0000 0.0753
471.0000 0.0758
475.5000 0.0763
498.5000 0.0768
509.5000 0.0773
514.0000 0.0778
520.0000 0.0783
